x,y,z
32.893149928631324,516.4778645003508,a
62.33606635998754,458.5797685140088,a
29.913456377983046,452.43398763472067,a
62.69600858135731,460.8380627513272,a
101.61476081076245,476.84176614544566,a
67.7539780677037,445.94126900226786,a
62.39312656001236,439.3109657321362,a
100.18213559142228,503.96736790511284,a
69.69579673573932,431.16205918967154,a
89.79444549680437,487.66830316568695,a
73.98303325392358,494.95711169551953,a
87.95747745757234,474.6468123148523,a
136.17970996990422,513.7592530372044,a
88.46466715241692,513.41377680592,a
103.15399008785556,476.4993406475136,a
100.52282085063888,421.28672656604044,a
60.28807417632287,477.1035777163773,a
85.07024266066999,492.4511129930522,a
77.32385877360993,508.7727193202746,a
98.45290330948188,533.8523148959328,a
78.50750550558504,464.9755389431458,a
133.09325965944512,467.3110791448069,a
87.20238158216105,481.8073490165923,a
75.056827409967,508.9845106046159,a
53.51784613067845,466.6043036217616,a
56.44716212809292,421.66104580917863,a
32.762162535371694,471.45102750473865,a
62.94716222333308,461.38525478399686,a
37.14135682990732,450.85574613137027,a
31.66661973340607,443.2512426097374,a
44.74219690800527,434.66207024549686,a
30.75650723310102,452.1990225256481,a
26.869745778751277,427.84191358656227,a
67.3915075857801,452.2228205150202,a
51.23772863393431,437.5058429767268,a
72.3884139536591,447.26049618907354,a
47.78247428405051,417.6307223543746,a
119.8784140291068,420.0761488438651,a
61.89847267318514,359.7942660018924,a
11.296374712934693,418.1814948100545,a
62.820097899177924,438.0965641826648,a
87.64542467882073,403.6487653664494,a
117.59809750793902,434.24753108608775,a
150.72644957811744,423.4663630419888,a
170.24831933803006,387.3188985146576,a
167.81743317267876,405.36871019243233,a
143.63444703161403,446.07347412279023,a
160.26490984802012,452.03523663639805,a
158.74975496542552,363.2021946685238,a
157.65060832159233,426.18771115399437,a
148.4999344740894,459.4116128398588,a
125.41552962164924,443.21427114941196,a
114.89347628993232,417.03403187929956,a
140.872648085009,392.4277503795744,a
145.20866248385255,429.47121532073976,a
107.64265223075691,384.67414809552645,a
126.34412349305627,396.4675035741535,a
140.86671774031893,389.28992640582993,a
92.10567140233067,415.81215517856765,a
67.60597832506596,381.72100297255315,a
117.40581434539406,403.93994393246516,a
112.08153458224318,394.5356614772103,a
95.96717803556388,368.1085606241445,a
78.6065105671195,394.4936207809131,a
134.0751533377776,400.09691460251344,a
126.84090738067526,348.0655748473294,a
102.61200782942366,325.4444150585425,a
144.90548623030475,341.1100689876123,a
131.75431378105972,260.82728050433616,a
140.66094693683237,351.54749439105456,a
162.19543662386906,346.1433812040074,a
140.89544166794312,357.34505544332364,a
133.47353427903914,374.75523361892596,a
179.2059136050458,375.7758688354912,a
154.63649815655722,362.9390473303515,a
171.7953918352507,332.4881672932929,a
110.93396111324822,342.51963234840116,a
209.4143955711462,350.3861547211077,a
217.53714558660366,362.39188355596775,a
157.59489693584467,338.9267144376853,a
173.1923469373095,390.8163431903305,a
211.8786005217391,352.00063522359847,a
149.8546949982149,373.0518920061369,a
173.1808258498832,290.61219649361846,a
172.7209892158821,315.6603777732804,a
110.44702412021934,421.34543676590295,a
121.38602620851097,347.71429653812254,a
159.60435765041584,342.3088482169205,a
127.83130704810975,289.0498927801005,a
90.32418682437995,341.36116526196935,a
177.29623677083913,335.25635398624075,a
143.96213002002136,331.3193895020928,a
118.53305867121703,313.27996565988815,a
115.25894959979043,336.8139329252896,a
89.09384366971139,360.33609313195575,a
108.18982685660592,353.05311693500164,a
168.28407351468115,314.80306409772083,a
126.41926682402607,374.70040853479645,a
95.56037122012732,329.3490691344716,a
104.49130100764089,308.4149847262221,a
152.7278189441243,312.554759685961,a
167.26093335551744,376.3482043180419,a
172.0111352777566,363.95250282534835,a
180.47150115236548,357.372915703494,a
163.8615000549644,348.628450467883,a
178.82976081838697,404.0958086696689,a
107.49701912702835,386.7409872150823,a
191.09217016512443,409.79012730087663,a
194.2013720726097,392.45412569330983,a
188.1099050808553,399.4217293129386,a
214.15709690415304,385.24245829440724,a
178.28425202796683,438.288900214722,a
185.1701611886071,444.2823691246825,a
139.17360341669342,470.0087590511942,a
173.91929084916586,425.42897858831356,a
136.8470861564531,435.6709038388814,a
174.34174980814362,407.7275378561485,a
96.7831282348519,434.005116814316,a
150.49448511427877,509.0154218555533,a
171.78805034781917,487.83757433054984,a
138.76992298873267,481.46284954718635,a
143.29534438810362,483.38920974058965,a
177.19358515372568,484.65450430367514,a
183.0819731222956,466.80809465131085,a
193.5544117433457,418.96123306493325,a
141.91166701019057,513.0076052456818,a
185.15454750857737,441.3818431842609,a
155.88570273904148,460.5094567977742,a
156.46816972050078,417.9372965227683,a
179.6918450011885,446.49784203487457,a
210.08054279636127,463.2995022333172,a
203.56050397814084,427.75037623197363,a
205.95248697471618,454.2764965178105,a
200.87253892303437,368.1686526864013,a
217.36689225269336,426.3141833773942,a
255.6706887532512,379.01434898006147,a
222.10565720550485,432.2095904345623,a
258.5499186183122,441.7711141411603,a
234.88662210986266,388.0949749367444,a
196.25940106043453,391.0428649520883,a
246.86130513580676,373.7818470723645,a
224.10468399891093,339.71772970897996,a
181.86185052774323,377.59082667446825,a
234.5293664606285,383.86279454991364,a
266.73214586954646,319.0536572465238,a
200.1801643980051,327.9879325423426,a
226.07748041025002,355.5725741784047,a
213.4610133066579,358.8356153855607,a
252.59196006936475,317.79341246119566,a
162.1597050380153,286.2663978408368,a
202.01190188280466,302.4877197075237,a
243.62398269490427,330.59600429366327,a
292.4554495978327,317.51439702856527,a
248.06943018122195,287.66441075753926,a
231.82158235850423,319.8717131965691,a
282.54781829753085,267.9274155074363,a
248.07483701595947,306.05142048298404,a
272.7295077732083,274.1167275395861,a
263.92354930336046,259.7864866068683,a
267.1816128043409,299.0814082422671,a
294.6875342815113,251.8865998975178,a
326.1908116569548,288.50445030082483,a
316.84090635468215,304.6226706769531,a
311.11249849179893,236.55617093370972,a
313.91613012946283,251.51310475520026,a
297.90126378432086,270.7963374005518,a
289.3283566342853,237.63849973528676,a
325.1032779588524,194.98361369839841,a
264.9164620210699,239.93824246896713,a
276.69832378639467,205.10822802846866,a
286.0658839614424,254.1998111288149,a
243.75751598472357,275.0774403448796,a
284.36446930465974,215.70896221499572,a
267.9866623068564,287.4372887894564,a
334.6898073018248,202.95662218012842,a
283.17279212462324,221.77222793618648,a
290.1146370853965,216.69392867157643,a
302.15138474491465,275.5895817016866,a
350.7937504301701,233.87837781567407,a
270.3989854742357,292.7775321776336,a
343.18384549129377,264.8993475666405,a
331.6195458846478,205.39255953102224,a
281.14479994756243,247.90010306809924,a
274.69680392527727,287.2510025361088,a
339.0748442335147,255.10807378339427,a
313.99972059463613,268.33933537259077,a
336.5687650928533,288.6794548566346,a
334.39725411362065,274.2245646121285,a
365.5734272850188,283.72100070143887,a
328.8868127720533,301.8784397485935,a
326.8196568039361,316.58077208486384,a
320.2023763448692,344.328279483477,a
311.1170771327345,338.2349684088287,a
294.9529492525979,284.96332215199254,a
326.1232131820209,407.42598144647553,a
284.447815601632,353.1691118506642,a
251.57462841472423,320.4701087240115,a
219.47638706464872,319.2487478295254,a
260.70170246461157,346.9839088650514,a
299.877882022366,349.72280861430926,a
253.4596642020731,354.34983799775034,a
222.50376545299508,386.3751027584106,a
237.46549428738638,341.41374103609525,a
241.44588373886054,399.3619890401649,a
273.39273415134306,361.1915183470657,a
223.156262945952,371.19568103402787,a
217.7389188766626,387.0243263993666,a
240.31624947768987,388.5373833674701,a
244.92315910984513,397.70788212492727,a
289.4323705063375,392.1984609307583,a
267.09085581649964,411.78575495837526,a
314.5759042650515,419.82247314737583,a
285.17474419722157,376.09788956118814,a
312.43273334693293,415.7917601003852,a
291.8660215588886,406.5633304977077,a
